ticker,name,exchange,category name,country
ALCLS.PA,Cellectis S.A.,PAR,Biotechnology,France
ALCLA.PA,Clasquin S.A.,PAR,Air Delivery & Freight Services,France
ALBUD.PA,Budget Telecom S.A.,PAR,Wireless Communications,France
ALALO.PA,Acheter-Louer.Fr SA,PAR,Advertising Agencies,France
ALADO.PA,Adomos S.A.,PAR,Property Management,France
AKA.PA,Akka Technologies,PAR,Business Services,France
ACA.PA,Credit Agricole S.A.,PAR,Money Center Banks,France
ABIO.PA,Albioma,PAR,,France
ZIF.PA,Officiis Properties SA,PAR,,France
ZGY.F,"Fidelity National Information Services, Inc.",FRA,,France
YCR.F,"Almost Family, Inc.",FRA,,France
Y1F.F,First American Financial Corporation,FRA,,France
XT2A.F,CCT Fortis Holdings Limited,FRA,,France
XCP1.F,Central Pacific Financial Corp.,FRA,,France
WFM.F,"Whole Foods Market, Inc.",FRA,Grocery Stores,France
VVU.DE,Vivendi SA,FRA,Wireless Communications,France
VLAP.PA,Valneva SE,PAR,Biotechnology,France
VET.PA,Vet'Affaires SA,PAR,,France
VCT.PA,Vicat SA,PAR,General Building Materials,France
UG6.F,Ship Finance International Limited,FRA,,France
UFF.PA,Union Financiere de France Banque SA,PAR,Asset Management,France
UDIS.PA,U10 SA,PAR,Home Furnishings & Fixtures,France
TEO.PA,FUTUREN S.A.,ENX,,France
TNG.PA,Transgene SA,PAR,Biotechnology,France
VN3A.F,LEXAM VG GOLD,FRA,,France
TR1.F,"T. Rowe Price Group, Inc.",FRA,,France
SFT.F,SoftBank Group Corp.,FRA,,France
OHP.F,Persimmon plc,FRA,,France
MLFIH.PA,Industrial Holding S.P.A,PAR,Real Estate Development,France
HSB.PA,HSBC Holdings plc,PAR,Money Center Banks,France
HPX.F,"Hisamitsu Pharmaceutical Co., Inc.",FRA,,France
HHI.F,Hopewell Highway Infrastructure Limited,FRA,,France
AHC.F,Hess Corporation,FRA,,France
1HM.F,Lightning Ventures Inc.,FRA,,France
XSE.F,"Seino Holdings Co., Ltd.",FRA,,France
XJL.F,China Metro-Rural Holdings Limited,FRA,,France
X1H.F,Heartware International Inc.,FRA,,France
WPA.F,HANERGY THI.F.P.G.HD-0025,FRA,,France
VN2.F,VirnetX Holding Corp,FRA,,France
TVK1.F,TVK1.F,FRA,,France
TPM.F,Tonix Pharmaceuticals Holding Corp.,FRA,,France
SYHN.F,Styland Holdings Limited,FRA,,France
SWS.F,American Outdoor Brands Corporation,FRA,,France
SO7.F,Nan Hai Corporation Limited,FRA,,France
SIH.F,Saracen Mineral Holdings Limited,FRA,,France
SGQ.F,Sin Ghee Huat Corporation Ltd.,FRA,,France
S6IA.F,"Leidos Holdings, Inc.",FRA,,France
RIG2.F,Richter Gedeon Vegyészeti Gyár Nyilvánosan Muködo Rt.,FRA,,France
ZU1.F,"Suzuken Co., Ltd.",FRA,,France
YPH.F,Astellas Pharma Inc.,FRA,,France
XSG.F,"Saibu Gas Co., Ltd.",FRA,,France
XEB.F,Sojitz Corporation,FRA,,France
XCN.F,"Clarion Co., Ltd.",FRA,,France
WFG1.F,West China Cement Limited,FRA,,France
VJC.F,JGC Corporation,FRA,,France
TSB.F,Tsubakimoto Chain Co.,FRA,,France
TOE.F,"Toei Company, Ltd.",FRA,,France
TOA.F,"Toshiba Machine Co., Ltd.",FRA,,France
TO4.F,Toto Ltd.,FRA,,France
TKS.F,"Takara Standard Co.,Ltd.",FRA,,France
TDI.F,"Takara Leben Co., Ltd.",FRA,,France
TDF.F,"Takano Co.,Ltd.",FRA,,France
TCW.F,"Tokyu Construction Co., Ltd.",FRA,,France
SON1.DE,Sony Corporation,FRA,Electronic Equipment,France
SRP.F,Sharp Corporation,FRA,,France
