ticker,name,exchange,category name,country
MRC.L,The Mercantile Investment Trust plc,LSE,,United Kingdom
MONY.L,Moneysupermarket.com Group PLC,LSE,Internet Information Providers,United Kingdom
MJW.L,Majestic Wine plc,LSE,,United Kingdom
MERC.L,Mercia Technologies PLC,LSE,Real Estate Development,United Kingdom
MCGN.L,Microgen plc,LSE,Technical & System Software,United Kingdom
MARS.L,Marston's PLC,LSE,Restaurants,United Kingdom
LSL.L,LSL Property Services Plc,LSE,Property Management,United Kingdom
KLR.L,Keller Group plc,LSE,General Contractors,United Kingdom
JRG.L,JRP Group plc,LSE,,United Kingdom
INV.L,The Investment Company plc,LSE,,United Kingdom
INF.L,Informa plc,LSE,Publishing - Newspapers,United Kingdom
INCH.L,Inchcape plc,LSE,Auto Dealerships,United Kingdom
ICP.L,Intermediate Capital Group plc,LSE,Asset Management,United Kingdom
ICGC.L,Irish Continental Group plc,LSE,,United Kingdom
HVN.L,Harvey Nash Group plc,LSE,Staffing & Outsourcing Services,United Kingdom
HMSO.L,Hammerson plc,LSE,REIT - Retail,United Kingdom
HL.L,Hargreaves Lansdown plc,LSE,Asset Management,United Kingdom
HGM.L,Highland Gold Mining Limited,LSE,Gold,United Kingdom
HEAD.L,Headlam Group plc,LSE,Home Furnishings & Fixtures,United Kingdom
HAS.L,Hays plc,LSE,Staffing & Outsourcing Services,United Kingdom
GRI.L,Grainger Plc,LSE,Property Management,United Kingdom
GLE.L,MJ Gleeson PLC,LSE,Residential Construction,United Kingdom
GFS.L,G4S plc,LSE,Security & Protection Services,United Kingdom
SYR.L,Synergy Health plc,LSE,,United Kingdom
CWC.L,Cable & Wireless Communications Plc,LSE,,United Kingdom
SPRT.L,Spirit Pub Company plc,LSE,,United Kingdom
COMS.L,RedstoneConnect Plc,LSE,,United Kingdom
CGI.L,"Canadian General Investments, Limited",LSE,,United Kingdom
CBG.L,Close Brothers Group plc,LSE,Asset Management,United Kingdom
BYG.L,Big Yellow Group plc,LSE,REIT - Industrial,United Kingdom
BWY.L,Bellway p.l.c.,LSE,Residential Construction,United Kingdom
BQE.L,Bioquell plc,LSE,Medical Appliances & Equipment,United Kingdom
BILB.L,Bilby Plc,LSE,,United Kingdom
BHMG.L,BH Macro Limited,LSE,,United Kingdom
BET.L,Betfair Group PLC,LSE,,United Kingdom
QPP.L,Watchstone Group Plc,LSE,,United Kingdom
PRZ.L,PRZ.L,LSE,,United Kingdom
WRES.L,W Resources Plc,LSE,,United Kingdom
WKP.L,Workspace Group plc,LSE,REIT - Diversified,United Kingdom
WHI.L,WH Ireland Group plc,LSE,Investment Brokerage - National,United Kingdom
VTC.L,The Vitec Group plc,LSE,Communication Equipment,United Kingdom
