NAME OF COMPANY,SYMBOL,Yahoo Ticker,IPO Year
Bal Pharma Limited,BALPHARMA,BALPHARMA.NS,2006
Balrampur Chini Mills Limited,BALRAMCHIN,BALRAMCHIN.NS,1995
Balu Forge Industries Limited,BALUFORGE,BALUFORGE.NS,2024
Banaras Beads Limited,BANARBEADS,BANARBEADS.NS,1995
Bannari Amman Sugars Limited,BANARISUG,BANARISUG.NS,2003
Banco Products (I) Limited,BANCOINDIA,BANCOINDIA.NS,2006
Bandhan Bank Limited,BANDHANBNK,BANDHANBNK.NS,2018
Bang Overseas Limited,BANG,BANG.NS,2008
Banka BioLoo Limited,BANKA,BANKA.NS,2020
Bank of Baroda,BANKBARODA,BANKBARODA.NS,1997
Bank of India,BANKINDIA,BANKINDIA.NS,1997
Bansal Wire Industries Limited,BANSALWIRE,BANSALWIRE.NS,2024
Banswara Syntex Limited,BANSWRAS,BANSWRAS.NS,2007
BASF India Limited,BASF,BASF.NS,1995
Bannari Amman Spinning Mills Limited,BASML,BASML.NS,2005
Bata India Limited,BATAINDIA,BATAINDIA.NS,2003
Bayer Cropscience Limited,BAYERCROP,BAYERCROP.NS,2010
Bharat Bijlee Limited,BBL,BBL.NS,2006
Black Box Limited,BBOX,BBOX.NS,2003
Bombay Burmah Trading Corporation Limited,BBTC,BBTC.NS,1996
B&B Triplewall Containers Limited,BBTCL,BBTCL.NS,2022
Brightcom Group Limited,BCG,BCG.NS,2015
Bcl Industries Limited,BCLIND,BCLIND.NS,2021
Brand Concepts Limited,BCONCEPTS,BCONCEPTS.NS,2022
Bharat Dynamics Limited,BDL,BDL.NS,2018
Beardsell Limited,BEARDSELL,BEARDSELL.NS,2015
Mrs. Bectors Food Specialities Limited,BECTORFOOD,BECTORFOOD.NS,2020
Bedmutha Industries Limited,BEDMUTHA,BEDMUTHA.NS,2010
Bharat Electronics Limited,BEL,BEL.NS,2000
Bella Casa Fashion & Retail Limited,BELLACASA,BELLACASA.NS,2025
Belrise Industries Limited,BELRISE,BELRISE.NS,2025
BEML Limited,BEML,BEML.NS,2003
Bhansali Engineering Polymers Limited,BEPL,BEPL.NS,2005
Berger Paints (I) Limited,BERGEPAINT,BERGEPAINT.NS,1999
Best Agrolife Limited,BESTAGRO,BESTAGRO.NS,2024
Beta Drugs Limited,BETA,BETA.NS,2025
BF Investment Limited,BFINVEST,BFINVEST.NS,2011
BF Utilities Limited,BFUTILITIE,BFUTILITIE.NS,2007
BGR Energy Systems Limited,BGRENERGY,BGRENERGY.NS,2008
Bhagiradha Chemicals & Industries Limited,BHAGCHEM,BHAGCHEM.NS,2021
Bhageria Industries Limited,BHAGERIA,BHAGERIA.NS,2016
Bhagyanagar India Limited,BHAGYANGR,BHAGYANGR.NS,2017
Bhandari Hosiery Exports Limited,BHANDARI,BHANDARI.NS,2017
Bharat Forge Limited,BHARATFORG,BHARATFORG.NS,2003
Bharat Gears Limited,BHARATGEAR,BHARATGEAR.NS,1996
Bharat Rasayan Limited,BHARATRAS,BHARATRAS.NS,1995
Bharat Seats Limited,BHARATSE,BHARATSE.NS,2025
Bharat Wire Ropes Limited,BHARATWIRE,BHARATWIRE.NS,2016
Bharti Airtel Limited,BHARTIARTL,BHARTIARTL.NS,2002
Bharti Hexacom Limited,BHARTIHEXA,BHARTIHEXA.NS,2024
Bharat Heavy Electricals Limited,BHEL,BHEL.NS,2003
Bigbloc Construction Limited,BIGBLOC,BIGBLOC.NS,2016
Bikaji Foods International Limited,BIKAJI,BIKAJI.NS,2022
Bhartiya International Limited,BIL,BIL.NS,2000
BIL VYAPAR LIMITED,BILVYAPAR,BILVYAPAR.NS,2006
Biocon Limited,BIOCON,BIOCON.NS,2004
